root_id,region,nt_type
720575940606608230,optic_lobe,GABA
720575940606612670,optic_lobe,ach
720575940606628530,central_complex,ACH
720575940606630590,antennal_lobe,ach
720575940606635040,optic_lobe,GABA
720575940606636210,central_complex,ACH
720575940606638880,optic_lobe,ACH
720575940606640160,optic_lobe,GABA
720575940606640230,antennal_lobe,ACH
720575940606650400,central_complex,GLUT
720575940606652960,optic_lobe,GLUT
720575940606653030,optic_lobe,GABA
720575940606657470,optic_lobe,ACH
720575940606659970,central_complex,ach
720575940606661920,optic_lobe,ACH
720575940606665760,optic_lobe,ACH
720575940606665830,optic_lobe,GABA
720575940606672230,optic_lobe,ACH
720575940606673510,optic_lobe,ach
720575940606674790,optic_lobe,GABA
720575940606675150,optic_lobe,ACH
720575940606677340,central_complex,ACH
720575940606680450,central_complex,ACH
720575940606683070,optic_lobe,GABA
720575940606684350,optic_lobe,GABA
720575940606697650,antennal_lobe,ach
720575940606698430,optic_lobe,GLUT
720575940606709890,optic_lobe,ACH
720575940606711910,optic_lobe,ACH
720575940606722140,optic_lobe,ACH
720575940606722150,central_complex,ACH
720575940606723430,antennal_lobe,ach
720575940606729150,optic_lobe,GLUT
720575940606733670,optic_lobe,GLUT
720575940606736830,optic_lobe,ACH
720575940606739390,optic_lobe,ACH
720575940606743170,central_complex,GABA
720575940606744510,optic_lobe,ACH
720575940606745190,optic_lobe,GLUT
720575940606745790,central_complex,ACH
720575940606747740,optic_lobe,ACH
720575940606747750,optic_lobe,ACH
720575940606756030,optic_lobe,GABA
720575940606757990,central_complex,ACH
720575940606763110,central_complex,GABA
720575940606763710,optic_lobe,GLUT
720575940606782300,optic_lobe,ACH
720575940606821250,optic_lobe,ACH
720575940606853250,central_complex,ACH
720575940606855810,optic_lobe,ACH
720575940606865330,central_complex,GABA
720575940606890370,central_complex,ACH
720575940606910850,central_complex,ACH
720575940606939010,optic_lobe,ACH
720575940606942130,optic_lobe,ACH
720575940606944130,optic_lobe,GABA
720575940606946690,central_complex,ACH
